Mon May  1 13:33:35 2023	Lugii (STEAM_0:1:552352244) has joined the game
Mon May  1 13:33:36 2023	Lugii (STEAM_0:1:552352244) spawned
Mon May  1 13:35:42 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:03:13 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:03:14 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:03:15 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:03:23 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:03:31 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:04:01 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:04:27 2023	Lugii (STEAM_0:1:552352244) spawned SENT aphone_npc
Mon May  1 14:04:45 2023	Lugii was killed by Himself with a suicide trick
Mon May  1 14:05:06 2023	Lugii (STEAM_0:1:552352244) spawned
Mon May  1 14:05:13 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:05:20 2023	Lugii (STEAM_0:1:552352244) spawned SENT ztm_manhole
Mon May  1 14:05:30 2023	Lugii (STEAM_0:1:552352244) spawned SENT ztm_manhole
Mon May  1 14:05:58 2023	Lugii (STEAM_0:1:552352244) spawned SENT ztm_manhole
Mon May  1 14:06:12 2023	Lugii (STEAM_0:1:552352244) spawned SENT ztm_manhole
Mon May  1 14:06:33 2023	Lugii (STEAM_0:1:552352244) spawned SENT bank_vault
Mon May  1 14:06:48 2023	Lugii (STEAM_0:1:552352244) spawned SENT ztm_manhole
Mon May  1 14:07:25 2023	Lugii (STEAM_0:1:552352244) spawned SENT ztm_manhole
Mon May  1 14:08:02 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:09:55 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:10:00 2023	Lugii (STEAM_0:1:552352244) spawned SENT ztm_manhole
Mon May  1 14:10:10 2023	Lugii (STEAM_0:1:552352244) spawned SENT ztm_manhole
Mon May  1 14:10:40 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:11:24 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 14:11:31 2023	Lugii (STEAM_0:1:552352244): !noclip
