Mon May  1 17:29:31 2023	Lugii (STEAM_0:1:552352244) has joined the game
Mon May  1 17:29:32 2023	Lugii (STEAM_0:1:552352244) spawned
Mon May  1 17:32:08 2023	Lugii (STEAM_0:1:552352244): 
Mon May  1 17:32:10 2023	Lugii (STEAM_0:1:552352244): 
Mon May  1 17:32:11 2023	Lugii (STEAM_0:1:552352244): 
Mon May  1 17:32:24 2023	Lugii was killed by Himself with a suicide trick
Mon May  1 17:32:44 2023	Lugii (STEAM_0:1:552352244) spawned
Mon May  1 17:32:46 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 17:32:47 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 17:33:39 2023	Lugii was killed by Himself with a suicide trick
Mon May  1 17:34:25 2023	Lugii (STEAM_0:1:552352244) spawned
Mon May  1 17:34:39 2023	Lugii was killed by Himself with a suicide trick
Mon May  1 17:35:02 2023	Lugii (STEAM_0:1:552352244) spawned
Mon May  1 17:35:09 2023	Lugii (STEAM_0:1:552352244): !god Lugii
Mon May  1 17:35:15 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 17:35:16 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 17:35:23 2023	Lugii (STEAM_0:1:552352244): !ungod Lugii
Mon May  1 17:35:32 2023	Lugii (STEAM_0:1:552352244): !sethp Lugii 1000000
Mon May  1 17:35:39 2023	Lugii (STEAM_0:1:552352244): !hp Lugii 100000000
Mon May  1 17:36:57 2023	Lugii (STEAM_0:1:552352244): !whip Lugii 99998990
Mon May  1 17:37:28 2023	Lugii (STEAM_0:1:552352244): !whip Lugii 100 999999999
Mon May  1 17:37:28 2023	Lugii was killed by Himself with a suicide trick
Mon May  1 17:37:49 2023	Lugii (STEAM_0:1:552352244) spawned
Mon May  1 17:37:52 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 17:38:10 2023	Lugii (STEAM_0:1:552352244): /flipsadmin
Mon May  1 17:38:15 2023	Lugii (STEAM_0:1:552352244): /adminatm
Mon May  1 17:38:20 2023	Lugii (STEAM_0:1:552352244): 
Mon May  1 17:38:35 2023	Lugii (STEAM_0:1:552352244): !noclip
Mon May  1 17:38:53 2023	Lugii (STEAM_0:1:552352244): 
Mon May  1 17:39:15 2023	Lugii (STEAM_0:1:552352244): 
Mon May  1 17:40:03 2023	Lugii (STEAM_0:1:552352244): !noclip
