Thu May  4 18:49:37 2023	Lugii (STEAM_0:1:552352244) has joined the game
Thu May  4 18:49:38 2023	Lugii (STEAM_0:1:552352244) spawned
Thu May  4 18:50:55 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 18:50:57 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 18:59:01 2023	Lugii (STEAM_0:1:552352244): !ping
Thu May  4 19:07:06 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:07:10 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:07:14 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:07:25 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:10:49 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:10:52 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:10:59 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:11:07 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:11:31 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:11:33 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:11:33 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:11:38 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:11:43 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:11:48 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:12:12 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:12:17 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:12:19 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:12:21 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:12:54 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:12:56 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:12:58 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:12:59 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:13:02 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:13:05 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:13:10 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:15:31 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:15:37 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:16:14 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:17:14 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:17:16 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:26:50 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:26:52 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:27:12 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:27:14 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:27:16 2023	Lugii (STEAM_0:1:552352244): !noclip
Thu May  4 19:27:21 2023	Lugii (STEAM_0:1:552352244): !noclip
